Fx,Fy,Fz,Tx,Ty,Tz
-8.912118783219,-2.35586739170157,-26.2670304804724,-0.0094773645697088,-0.687787528115603,0.0605822655963635
-8.982990136369,-2.45025158512157,-26.5395104914724,-0.0094773645697088,-0.695171351510603,0.0619538094508635
-9.053862443189,-2.56823182689157,-26.6757485896724,-0.0076160162871588,-0.697017307359603,0.0626395832407635
-9.148357262839,-2.54463577854157,-26.8119885951724,-0.0057546680046188,-0.701632196980603,0.0640111270952635
-9.290100922809,-2.52103973018157,-26.9482286005724,-0.0066853421458888,-0.712707872468603,0.0653826709497635
-9.502715935929,-2.45025158512157,-26.8119885951724,-0.0048239939797588,-0.723783607560603,0.0660684447395635
-9.927946915849,-2.30867553341157,-26.9482286005724,-0.0104080384781488,-0.731167430955603,0.0681257586586635
-10.211433282119,-2.14350319492157,-26.5395104914724,-0.0113387123865888,-0.741320188123603,0.0660684447395635
-10.400424828719,-2.02552295315157,-26.6757485896724,-0.0187841045854288,-0.742243166047603,0.0646968971598635
-10.589415421719,-2.00192690479157,-26.1307904749724,-0.0187841045854288,-0.735782320577603,0.0646968971598635
-9.857074609029,-2.00192690479157,-25.9945504694724,-0.0178534311426288,-0.714553828317603,0.0674399848687635
-9.668084016069,-1.90754283058157,-25.0408723383724,-0.0132000611348288,-0.716399784165603,0.0688115324485635
-9.691707482559,-1.97833085644157,-24.6321523219724,-0.0132000611348288,-0.709015960771603,0.0701830800283635
-9.431844582779,-1.88394678222157,-23.6784741908724,-0.0094773645697088,-0.687787528115603,0.0681257586586635
-9.242853036149,-1.81315863716157,-22.5885560542724,-0.0076160162871588,-0.665636057931603,0.0646968971598635
-8.746751656759,-1.60079432117157,-21.6348779231724,-0.0150614089517288,-0.628716940957603,0.0633253533053635
-8.392392983659,-1.38843000519157,-20.1362397700724,-0.0141307345776288,-0.592720801907603,0.0578391778874635
-7.872666707259,-1.19966173755157,-18.3651235133724,-0.0104080384781488,-0.548417921143603,0.0523529987442635
-7.376564851029,-1.08168161499157,-16.4577653437724,-0.0094773645697088,-0.503192002850603,0.0516672249543635
-7.140325417739,-1.03448951828157,-15.7765672236724,-0.0076160162871588,-0.480117554742603,0.0509814548897635
-6.431608548389,-0.892913287753573,-13.3242509394724,-0.0038933198966938,-0.412740196067603,0.0489241372454635
-5.817386975509,-0.845721250648573,-12.3705718546724,-0.0020319717305638,-0.376744057017603,0.0454952757465635
-3.998346200209,-0.751337116832573,-10.3269755870124,-0.0066853421458888,-0.290907139855603,0.0297225139695635
-3.384124627339,-0.704145020122573,-8.96457743942242,-0.0011012976474988,-0.250296140986603,0.0242363348263635
-2.840774646029,-0.727741068477573,-8.01089930832242,-0.0001706236226388,-0.218914891559603,0.0208074733275635
-2.486416211349,-0.680548971767573,-7.05722070038242,0.0035520729424511,-0.202301303822603,0.0166928399014635
-2.202929129829,-0.562568789596573,-5.96730256378242,0.0016907246599011,-0.174611980992603,0.0146355231884635
-1.872194519269,-0.515376752490573,-5.28610348999242,0.0035520729424511,-0.157075400430603,0.0132639784026635
-1.612331619489,-0.468184655780573,-4.74114442169242,0.0044827468508911,-0.142307753640603,0.0084635730493335
-1.376092543829,-0.373800521964573,-4.05994558632242,0.0016907246599011,-0.122002254206603,0.0070920282635335
-1.305220833049,-0.303012406701573,-3.78746605217242,-0.0011012976474988,-0.109080563265603,0.0070920282635335
-1.068981757389,-0.255820339793573,-3.24250674545242,-0.0011012976474988,-0.0970818576995032,0.0057204834777335
-0.927238335832997,-0.185032239432573,-2.83378744423242,-0.0011012976474988,-0.0823142183605032,0.0043489391575935
-0.761870970949997,-0.255820339793573,-2.15258860886242,0.0007600505186311,-0.0730844391170032,0.0050347115504935
-0.620127549394997,-0.208628272886573,-2.01634884178242,0.0007600505186311,-0.0610857335511032,0.0029773946046335
-0.525631895288997,-0.114244139070573,-1.74386918843242,-0.0001706236226388,-0.0509329801086032,0.0036631667647035
-0.454760184511997,-0.137840172524573,-1.60762942135242,-0.0038933198966938,-0.0417032045904032,0.0022916223281465
-0.407512387260997,-0.114244139070573,-1.33514988720342,-0.0020319717305638,-0.0389342708174032,0.0016058500516635
-0.360264560207997,-0.137840172524573,-1.19891012012942,-0.0029626458136288,-0.0306274732235032,0.0009200777751805
-0.336640646680997,-0.185032239432573,-1.19891012012942,-0.0001706236226388,-0.0306274732235032,0.0009200777751805
-0.289392849429997,-0.137840172524573,-1.06267029345042,-0.0020319717305638,-0.0250896075401032,0.0022916223281465
-0.265768935903997,-0.208628272886573,-0.926430526375417,-0.0001706236226388,-0.0278585394505032,0.0016058500516635
-0.289392849429997,-0.161436205978573,-1.06267029345042,-0.0020319717305638,-0.0232436516914032,0.0022916223281465
-0.289392849429997,-0.161436205978573,-0.790190759300417,-0.0011012976474988,-0.0250896075401032,0.0016058500516635
-0.218521138652997,-0.208628272886573,-1.06267029345042,-0.0048239939797588,-0.0223206737670032,-0.0011372390542664
-0.242145037278997,-0.114244139070573,-0.790190759300417,-0.0011012976474988,-0.0213976977053032,0.0009200777751805
-0.218521138652997,-0.137840172524573,-0.926430526375417,-0.0029626458136288,-0.0213976977053032,0.0016058500516635
